File Path,Project,Distinct count of Issue Key POST,Distinct count of Issue Key PRE,Churn PRE,Distinct count of Author Email PRE,Distinct count of Commit Hash PRE
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/BSFPreProcessorBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/BeanShellPreProcessor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/BeanShellPreProcessorBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/CounterConfig.java,Jmeter,0,0,4,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/JSR223PreProcessor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/JSR223PreProcessorBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/SampleTimeout.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/UserParameters.java,Jmeter,0,0,4,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/gui/CounterConfigGui.java,Jmeter,0,1,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/gui/SampleTimeoutGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/gui/UserParametersGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/reporters/MailerModel.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/reporters/MailerResultCollector.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/sampler/DebugSampler.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/sampler/DebugSamplerBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/sampler/TestAction.java,Jmeter,0,0,0,0,0
jmeter/src/components/src/main/java/org/apache/jmeter/sampler/gui/TestActionGui.java,Jmeter,0,0,0,0,0
jmeter/src/components/src/main/java/org/apache/jmeter/thinktime/DefaultThinkTimeCreator.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/BSFTimer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/BSFTimerBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/BeanShellTimer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/BeanShellTimerBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/ConstantThroughputTimer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/ConstantThroughputTimerBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/ConstantTimer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/GaussianRandomTimer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/JSR223Timer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/JSR223TimerBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/PoissonRandomTimer.java,Jmeter,0,0,1,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/RandomTimer.java,Jmeter,0,0,2,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/SyncTimer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/SyncTimerBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/UniformRandomTimer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/timers/gui/AbstractRandomTimerGui.java,Jmeter,0,1,12,1,1
