Kind,Project,Name,File Path,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Deletion.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Deletion.java,2,2,2,1,9,0,8,0,6,3,8,49,47,46,10,49,1,2,0,46,645,84,509,127,299,61,237,358,115,264,11,11,23,11,3,0.12,129,119,144,73
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/EndpointDetails.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/EndpointDetails.java,2,2,2,1,9,0,8,0,6,3,7,48,46,45,9,48,1,2,0,45,630,83,499,126,289,57,227,347,112,256,11,11,23,11,3,0.11,125,115,140,72
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexClause.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexClause.java,2,2,2,1,9,0,8,0,6,3,8,53,51,50,9,53,1,2,0,50,681,90,538,136,309,62,259,380,126,273,11,11,21,11,4,0.12,128,118,140,77
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexExpression.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexExpression.java,2,2,2,1,8,0,8,0,6,3,7,52,50,49,8,52,1,2,0,49,650,87,499,128,288,73,234,348,113,254,11,11,23,11,3,0.15,125,115,140,76
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexOperator.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexOperator.java,2,1,2,1,5,0,4,1,1,1,0,5,3,4,6,5,0,1,0,4,75,8,34,14,15,33,14,18,9,9,6,2,6,1,1,0.97,10,6,10,5
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexType.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexType.java,1,1,1,1,5,0,3,1,1,1,0,5,3,4,4,5,0,1,0,4,69,8,28,12,11,33,12,16,9,7,4,2,4,1,1,1.18,8,6,8,5
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/InvalidRequestException.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/InvalidRequestException.java,1,1,1,1,6,0,6,0,6,3,5,38,36,35,4,38,1,2,0,35,414,65,299,100,144,53,134,206,89,128,5,5,9,5,3,0.18,67,67,72,50
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/KeyCount.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/KeyCount.java,2,1,2,1,7,0,7,0,6,3,7,45,43,42,7,45,1,2,0,42,521,76,396,116,217,55,190,279,103,188,8,8,14,8,3,0.14,92,87,99,63
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/KeyRange.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/KeyRange.java,3,2,3,1,11,0,10,0,6,3,11,70,68,67,16,70,1,2,0,67,1034,119,854,172,534,79,398,600,161,472,20,20,42,20,4,0.09,227,202,254,112
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/KeySlice.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/KeySlice.java,2,2,2,1,8,0,7,0,6,3,6,48,46,45,6,48,1,2,0,45,583,79,450,122,241,60,208,313,114,217,8,8,16,8,4,0.13,107,102,117,66
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/KsDef.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/KsDef.java,3,2,3,1,12,0,11,0,6,3,12,68,66,65,16,68,1,2,0,65,1047,117,866,180,539,82,417,614,171,482,20,20,44,20,4,0.09,215,190,245,110
