File Path,Language,Project,Avg Max Depth,Avg Depth,Avg Try SLOC,Avg Try LOC,Try SLOC,Try LOC,# Handled with Nested Try,# Handled with Log,# Handled with Abort,# Handled with Default,# Handled with Method,# Handled with Throw with New,# Handled with Throw Wrap,# Handled with Return,# Handled with Continue,# Handled with Empty,# Handled with ToDo,# Handled with Throw without New,% Handled with Nested Try,% Handled with Log,% Handled with Abort,% Handled with Default,% Handled with Method,% Handled with Throw with New,% Handled with Throw Wrap,% Handled with Return,% Handled with Continue,% Handled with Empty,% Handled with ToDo,% Handled with Throw without New,# Possible Exceptions,# Propagated and Potentially Recoverable,% Doc in Comment,% External Doc,# Propagated,Avg # Declaring Methods,Avg # Invoked Method,% Subsumption,% Specific,% Throw Statement,% Method Declaration,Sum of Num Distinct Methods,Num Distinct Methods,# Try in Conditional,# Try in Declaration,# Try in EH Feature,# Try in Loop,# Try in Other,# Try,% Try in Conditional,% Try in Declaration,% Try in EH Feature,% Try in Loop,% Try in Other,% Propagated and Potentially Recoverable,% Propagated,Avg Exc Type Prevalence
cassandra/src/java/org/apache/cassandra/db/Directories.java,Java,Cassandra,11.5,3.066666667,7.714285714,12.71428571,54,89,0,0.857142857,0,0,0.285714286,0.142857143,0.142857143,0.142857143,0.285714286,0,0,0.857142857,0.299079239,0,0.26548873,0,0,0.064475318,0.036997852,0.03490509,0.128174323,14.73730298,0,0,1.333333333,0.857142857,0.039936102,0.052493438,1,1.0625,1.125,0.104392917,0.092980597,0.092980597,0.092980597,42,6,0,2,0,0,0,2,0,1,0,0,0,1,0,12
cassandra/src/java/org/apache/cassandra/db/lifecycle/LogReplica.java,Java,Cassandra,15,4,1,3,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0.010081323,0,0,0,0,0,0.258984966,0.244335632,0,0,0,0,1.333333333,1,0,0,2.5,1.057692308,1.307692308,0.260982293,0.09255987,0.09255987,0.09255987,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,251
cassandra/src/java/org/apache/cassandra/db/WindowsFailedSnapshotTracker.java,Java,Cassandra,10.875,2.9,1.666666667,3.666666667,5,11,0,0,0,0,0,1,1,0,0,0,0,0,0.03696485,0,0,0,0,0,0.258984966,0.244335632,0,0,0,0,2.666666667,1,0.039936102,0,0.875,1,1,0.091343802,0.08751115,0.08751115,0.08751115,3,1,0,3,0,1,0,4,0,0.75,0,0.25,0,0,0.055555556,951.3092105
cassandra/src/java/org/apache/cassandra/transport/CBUtil.java,Java,Cassandra,0.6,0.16,3.5,7.25,14,29,0,0.5,0,0,0.75,0.5,0.5,0.5,0,0,0,0.5,0.097452786,0,0.154868426,0,0,0.169247709,0.129492483,0.122167816,0.448610129,0,0,0,1.666666667,0.75,0,0.209973753,1.4,1.166666667,1.166666667,0.146150084,0.102096342,0.102096342,0.102096342,17,4.25,0,3,0,0,0,3,0,1,0,0,0,0,0.277777778,1819.166667
cassandra/src/java/org/apache/cassandra/transport/Frame.java,Java,Cassandra,1,0.266666667,1,3.5,4,14,0,0.25,0,0,0.25,0.75,1,0,0,0,0,0.25,0.047046172,0,0.077434213,0,0,0.056415903,0.194238724,0.244335632,0,0,0,0,0.333333333,1.25,0,0,0,1,1,0,0.08751115,0.08751115,0.08751115,4,1,0,1,0,0,0,1,0,1,0,0,0,0.5,0.175813008,757.75
cassandra/src/java/org/apache/cassandra/transport/messages/StartupMessage.java,Java,Cassandra,1.333333333,0.355555556,1.75,4.25,7,17,0,0.25,0,0,0.5,0.75,0.75,0,0,0,0,0.25,0.057127495,0,0.077434213,0,0,0.112831806,0.194238724,0.183251724,0,0,0,0,1,1.25,0.079872204,0.104986877,1,1.25,1.25,0.104392917,0.109388938,0.109388938,0.109388938,9,2.25,2,0,0,0,0,2,1,0,0,0,0,0,0.316756414,1642.905462
cassandra/src/java/org/apache/cassandra/transport/Message.java,Java,Cassandra,0.428571429,0.114285714,1,3,1,3,0,0,0,0,1,0,1,0,0,0,0,1,0.010081323,0,0,0,0,0.225663611,0,0.244335632,0,0,0,0,2.333333333,1,0,0.31496063,0.857142857,1,1,0.089479643,0.08751115,0.08751115,0.08751115,2,2,0,2,0,0,0,2,0,1,0,0,0,0.166666667,0,1274.421875
cassandra/src/java/org/apache/cassandra/cql3/functions/ScriptBasedUDFunction.java,Java,Cassandra,4.333333333,1.155555556,17.75,29.25,71,117,0,0.25,0.25,0.75,1,0,0,0.25,0,0,0,1,0.393171584,0,0.077434213,2.173618797,5.621679502,0.225663611,0,0,0.224305065,0,0,0,1,1,0,0.94488189,0,1.25,1.25,0,0.109388938,0.109388938,0.109388938,54,13.5,0,2,0,0,0,2,0,1,0,0,0,0,0.148148148,1109.2
cassandra/src/java/org/apache/cassandra/utils/MBeanWrapper.java,Java,Cassandra,2.769230769,0.738461538,25.25,39.25,101,157,0,0.25,0.25,0.75,1,0,0,0.25,0,0,0,1,0.52758922,0,0.077434213,2.173618797,5.621679502,0.225663611,0,0,0.224305065,0,0,0,4.333333333,1,0,0.734908136,1,1,1,0.104392917,0.08751115,0.08751115,0.08751115,69,17.25,0,4,0,0,0,4,0,1,0,0,0,0.083333333,0.5,1032.666667
cassandra/src/java/org/apache/cassandra/io/util/CompressedChunkReader.java,Java,Cassandra,0.25,0.066666667,1,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0.006720882,0,0,0,0,0,0.258984966,0.244335632,0,0,0,0,4,1,0,0,1.083333333,1,1,0.113092327,0.08751115,0.08751115,0.08751115,1,1,0,8,0,0,0,8,0,1,0,0,0,0.035714286,0,1357
cassandra/src/java/org/apache/cassandra/io/compress/CompressedSequentialWriter.java,Java,Cassandra,2.4,0.64,1,3,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0.010081323,0,0,0,0,0,0.258984966,0.244335632,0,0,0,0,8.333333333,1,0,0.052493438,1.08,1,1,0.11274435,0.08751115,0.08751115,0.08751115,1,1,0,0,0,3,0,3,0,0,0,1,0,0,0.375,1861.722222
cassandra/src/java/org/apache/cassandra/index/sasi/analyzer/filter/FilterPipelineExecutor.java,Java,Cassandra,0,0,1,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0.006720882,0,0,0,0,0,0.258984966,0.244335632,0,0,0,0,0.333333333,1,0,0,0,2.666666667,2.666666667,0,0.233363067,0.233363067,0.233363067,1,1,2,0,0,0,0,2,1,0,0,0,0,0.571428571,0.375,801.2
